宾	bbooui
滨	bbaooa
缤	bbaaoo
濒	bbaivi
摈	bbiuoo
髌	bbiaoo
傧	bbiooa
镔	bbiooo
豳	bbivua
斌	bbovvv
膑	bbuooa
邠	bbuoai
彬	bbvvuu
鬓	bbvioo
槟	bbvooa
槟	bgvooa
殡	bbvuoo
玢	bbvvuo
玢	fnvvuo
表	bcvvua
婊	bcauvv
骠	bcaavi
骠	pcaavi
骉	bcaaaa
瀌	bcaovu
彪	bcivuu
幖	bciavi
蔈	bciivi
藨	bciiov
镖	bciovi
镳	bcioov
儦	bciova
摽	bciuvi
俵	bcivvi
裱	bcoavv
熛	bcouvi
瘭	bcovvi
膘	bcuvia
膘	pcuvia
飚	bcuaou
飑	bcuaua
鳔	bcuavi
脿	bcuvvi
标	bcvvvi
髟	bcviuu
飙	bcvuua
杓	bcvuao
杓	ezvuao
别	bdoaii
憋	bdouoa
鳖	bdouua
蹩	bdouoi
瘪	bdovui
办	bfauoo
绊	bfaaou
阪	bfaiuu
湴	bfaouv
搬	bfiuuu
蝂	bfiaui
伴	bfiouv
钣	bfiouu
扳	bfiuuu
拌	bfiuou
拌	pfiuou
扮	bfiuuo
半	bfouvv
昄	bfoiuu
粄	bfoouu
瓣	bfovuu
𨭉	bfovio
瘢	bfovuu
癍	bfovvv
版	bfuiuu
颁	bfuovu
攽	bfuouv
般	bfuuua
舨	bfuuuu
班	bfvvou
靽	bfviou
坂	bfvouu
板	bfvuua
斑	bfvvov
并	bgouvv
屏	bgavou
屏	pgavou
摒	bgiuav
蛃	bgiavi
病	bgovvi
昺	bgoivi
炳	bgouvi
冰	bgovaa
禀	bgovia
兵	bguiuo
饼	bguaou
秉	bguvav
柄	bgvvia
丙	bgviau
邴	bgviai
白	bhuiav
败	bhaouv
摆	bhiuia
拜	bhiuvv
伯	bhiuia
伯	bliuia
掰	bhiuuo
捭	bhiuui
佰	bhivui
呗	bhoaoo
呗	bwoaoo
稗	bhuvui
百	bhvuia
柏	bhvuia
柏	blvuia
部	bjovai
步	bjiviu
蔀	bjiiov
钚	bjiovu
堡	bjiovo
堡	bziovo
堡	pjiovo
钸	bjiovu
捕	bjiuvi
补	bjoaio
晡	bjoivi
卟	bjoioo
怖	bjoovu
哺	bjovia
瓿	bjovva
簿	bjuvav
簿	bluvav
布	bjvuia
逋	bjvioa
醭	bjviii
埠	bjvoui
埗	bjvoiv
埔	bjvovi
埔	pjvovi
㘵	bjvovu
不	bjvuio
不	fdvuio
比	bkvaua
避	bkavoa
纰	bkaava
纰	pkaava
陛	bkaiva
泌	bkaoao
泌	mkaoao
赑	bkaoao
婢	bkauui
濞	bkauia
濞	pkauia
妼	bkauoa
妣	bkauva
滗	bkauvo
壁	bkavvo
嬖	bkavau
沘	bkavau
辟	bkavov
辟	pkavov
屄	bkavoo
襞	bkavov
臂	bkavuu
臂	bwavuu
璧	bkavvv
弼	bkavvu
蔽	bkiiou
睥	bkiaui
睥	pkiaui
髀	bkiaui
畀	bkiavu
蓖	bkiiui
薜	bkiiav
苾	bkiioa
荸	bkiiuo
萆	bkiiui
荜	bkiiva
铋	bkiooa
佖	bkioao
俾	bkiuia
必	bkoaou
裨	bkoaui
裨	pkoaui
邲	bkoaai
诐	bkoaau
闭	bkoivi
跸	bkoiva
愎	bkoouv
咇	bkooao
弊	bkouvu
鄙	bkouai
敝	bkouuv
庇	bkovva
哔	bkovau
吡	bkovau
吡	pkovau
痹	bkovia
庳	bkovui
庳	bwovui
笔	bkuvuv
狴	bkuava
鲾	bkuavo
币	bkuiai
鼻	bkuiia
贲	bkuoao
贲	bnuoao
彼	bkuuau
舭	bkuuva
秘	bkuvoa
秘	mkuvoa
箅	bkuvia
馝	bkuvoa
篦	bkuvui
秕	bkuvva
筚	bkuvva
毕	bkvauo
毙	bkvavu
毖	bkvaoa
坒	bkvavo
逼	bkvooa
皕	bkvuvu
觱	bkvuua
碧	bkvvvu
珌	bkvvoa
拨	bliuau
波	blaaui
驳	blaauo
泊	blauia
