character	count
d	2514427982
j	2182733581
y	2035001440
e	1947061434
l	1607315378
q	1543669159
k	1519987716
v	1470029392
x	1438140755
f	1304363430
h	1300570235
b	1265359062
i	1264113936
o	1239836514
w	1200268202
u	1105078751
g	1093977907
z	1030368421
a	996570675
m	990667404
t	941574094
n	867102521
s	808847753
r	723568813
p	534059416
c	389497535
å	1469429
æ	870375
ä	658657
è	590404
ç	565669
ã	417344
é	379566
º	346619
ï	202311
晸	113000
µ	90621
丨	65078
睺	46942
ª	45830
晧	45510
這	44065
の	41349
個	41233
銝	35014
牠	33524
い	33241
â	32299
來	30445
為	29521
說	27684
嚗	27235
犼	27190
國	26881
砲	26541
時	26504
о	26082
會	25878
α	25738
麼	24611
а	23553
黒	23165
雲	22709
鈭	22611
ａ	21860
и	21464
過	21292
沒	21285
し	21112
學	20598
冴	20273
е	20048
晩	20009
た	19373
對	19367
ー	19221
な	18931
π	17736
か	17703
妳	17510
に	17483
á	17351
н	17161
β	17139
う	17138
玧	16884
們	16356
ん	16243
現	16233
還	16101
と	16100
т	15944
ω	15897
て	15849
は	15471
俷	15363
ン	15345
ｂ	15325
る	15257
с	15120
ｃ	15044
茣	14759
別	14727
丶	14727
à	14086
長	14065
題	14058
で	13826
р	13678
嘅	13627
ま	13620
點	13585
μ	13497
發	13471
蕯	13419
д	13085
ā	12966
開	12791
ｓ	12688
無	12530
в	12433
が	12377
語	12256
ｐ	12222
隞	12189
撟	12187
問	12180
種	12161
經	12152
ｏ	12145
實	12084
徳	12055
す	11903
體	11850
樣	11699
當	11518
ｍ	11454
を	11247
í	11132
っ	11098
к	11045
內	11026
間	10998
ら	10991
呎	10846
り	10825
こ	10594
摰	10590
く	10584
л	10526
ｄ	10526
與	10450
ｔ	10380
ｉ	10355
ｅ	10259
ü	10235
覺	10235
ا	10175
き	10098
話	9913
隡	9909
灣	9509
も	9353
裡	9192
ó	9132
關	9087
れ	9061
あ	8999
ｎ	8871
勣	8792
さ	8681
書	8658
イ	8545
東	8419
汎	8414
ス	8376
儁	8335
ｗ	8319
м	8317
動	8264
進	8199
兩	8163
給	8160
霑	7946
門	7936
だ	7901
ｇ	7897
愛	7803
霂	7666
ル	7661
業	7588
ì	7526
ｌ	7458
從	7391
劵	7371
係	7347
у	7272
п	7267
見	7240
論	7172
蝏	7139
ｒ	7133
ｆ	7082
お	7059
認	7027
媗	6952
袛	6935
餈	6926
機	6874
ト	6855
禇	6826
應	6729
銵	6709
電	6682
尓	6676
δ	6626
φ	6555
ī	6549
濬	6534
よ	6503
ú	6484
γ	6481
ラ	6442
樂	6440
場	6421
義	6415
結	6411
ｘ	6399
幾	6391
準	6389
雿	6379
車	6367
墭	6365
つ	6360
ち	6307
頭	6270
ε	6264
ö	6259
風	6247
郞	6242
珮	6204
ǎ	6203
悅	6191
葉	6183
韐	6154
け	6140
婥	6138
闇	6097
韏	6095
з	6060
ｈ	6016
م	6008
ア	6006
證	5987
單	5978
馬	5973
崝	5921
み	5866
ｋ	5860
爌	5841
リ	5840
較	5794
撘	5737
龍	5728
塚	5725
姌	5679
陸	5624
迡	5622
σ	5611
凪	5597
數	5593
撣	5559
θ	5544
嫃	5534
ل	5515
箏	5467
並	5413
讓	5391
歡	5371
г	5317
ク	5297
λ	5266
え	5255
質	5253
佢	5249
嗎	5231
爲	5227
華	5220
ù	5216
選	5210
資	5208
я	5206
ｑ	5205
該	5204
難	5192
產	5188
ｖ	5153
荳	5136
そ	5003
師	4997
じ	4981
亙	4974
統	4972
ッ	4968
術	4958
號	4949
媺	4929
蟡	4924
讀	4902
變	4767
萬	4761
磾	4746
記	4730
わ	4729
摨	4728
網	4727
謝	4724
買	4699
ы	4686
遠	4680
聽	4680
б	4662
傳	4642
觀	4605
醫	4604
寫	4602
類	4599
請	4594
強	4584
й	4578
運	4537
琍	4503
ь	4499
舖	4489
楽	4478
極	4475
設	4465
ē	4460
タ	4453
ヽ	4444
詞	4398
ч	4393
嬅	4384
榊	4376
匄	4371
氣	4352
縯	4336
ょ	4318
沢	4303
將	4299
計	4272
ど	4265
區	4259
ρ	4256
シ	4255
張	4245
ｕ	4230
嶋	4225
確	4219
圖	4187
堺	4179
や	4163
せ	4162
娖	4145
媃	4143
冦	4137
視	4127
紅	4096
鴷	4093
戰	4090
漢	4086
ジ	4070
達	4055
ي	4053
價	4041
め	3996
錯	3966
處	3960
頫	3951
帶	3944
員	3938
ロ	3920
簡	3912
ō	3911
環	3901
調	3884
識	3869
眀	3868
咘	3861
標	3856
賣	3826
ο	3804
錢	3787
夋	3787
カ	3763
黃	3731
廣	3720
詨	3690
遊	3681
ド	3667
離	3649
煣	3641
聲	3637
咗	3632
約	3628
轉	3616
撌	3606
ǐ	3604
歩	3579
製	3572
縲	3569
總	3567
裝	3560
漲	3560
議	3559
聻	3539
裏	3523
瞤	3517
τ	3506
ø	3484
伱	3477
習	3474
稱	3473
專	3463
惣	3433
許	3429
誰	3421
ò	3420
レ	3413
犖	3409
ū	3407
嗙	3406
講	3397
ノ	3395
飛	3384
ه	3382
連	3381
楶	3380
渃	3379
マ	3375
歷	3372
銋	3372
毘	3352
ｙ	3297
則	3292
隊	3289
ɡ	3262
親	3250
軍	3249
昰	3249
適	3248
畠	3240
邊	3226
禩	3220
報	3211
凃	3194
瞾	3191
ろ	3190
炤	3184
撠	3182
漣	3169
フ	3162
尙	3145
兒	3133
閫	3118
線	3116
竜	3100
昚	3082
瘜	3081
妏	3077
咈	3073
寧	3063
摮	3063
節	3058
痶	3048
費	3046
鸑	3045
キ	3040
甈	3029
畫	3020
衞	3018
評	3018
伷	3014
コ	2993
鷟	2989
チ	2979
絲	2976
顗	2976
ば	2957
豊	2957
峯	2945
暱	2943
煖	2938
х	2930
輕	2906
聯	2890
𫚥	2882
齮	2881
煚	2877
維	2875
淸	2856
條	2850
羅	2850
務	2845
殺	2839
園	2839
ж	2833
試	2830
賢	2828
級	2815
ν	2813
栢	2812
雖	2806
騄	2805
鍼	2794
組	2772
綝	2768
テ	2759
蝞	2747
況	2731
權	2729
憸	2727
づ	2725
際	2723
剛	2712
啣	2711
獨	2705
滿	2692
ت	2691
蔵	2691
寔	2691
吶	2680
ひ	2678
俌	2678
実	2677
ǔ	2675
蘭	2671
隨	2650
蔢	2649
導	2641
辦	2628
樓	2623
芶	2620
蚡	2616
養	2597
騉	2595
眾	2586
哋	2585
ね	2580
猽	2579
臺	2573
決	2570
ｊ	2567
サ	2563
ミ	2553
巿	2552
狀	2548
紀	2541
終	2540
絕	2536
ι	2526
亞	2526
貐	2524
ィ	2514
オ	2501
爾	2501
メ	2493
ˇ	2484
陽	2482
ς	2477
ご	2475
魚	2474
濊	2468
毎	2468
蝚	2468
و	2460
エ	2451
迴	2447
聖	2439
ゃ	2437
剎	2434
備	2429
ê	2426
ナ	2426
憿	2416
據	2408
峇	2399
ウ	2397
興	2393
優	2387
プ	2385
瘚	2385
ム	2383
靑	2380
グ	2377
毦	2374
細	2372
ô	2355
補	2352
熲	2345
訢	2345
狌	2344
ブ	2337
獢	2336
遙	2333
夠	2332
宮	2324
續	2321
蝑	2321
態	2320
領	2320
驗	2300
佔	2297
創	2294
顯	2292
雙	2284
箇	2282
ψ	2276
嫇	2269
戦	2267
藝	2265
黨	2263
バ	2251
喺	2250
腦	2245
パ	2239
龑	2239
謂	2238
參	2224
烮	2217
苳	2216
屬	2211
驒	2207
ニ	2207
淩	2205
旳	2204
誑	2204
樰	2193
ě	2184
卻	2174
瑯	2174
餃	2171
ñ	2170
へ	2169
換	2166
釭	2161
敺	2159
蝵	2157
ш	2156
閒	2151
劻	2149
敶	2148
護	2144
啱	2142
規	2139
異	2137
瀞	2133
κ	2112
盤	2109
熱	2108
暘	2107
輯	2104
筆	2093
ャ	2089
ず	2089
僑	2085
撃	2076
團	2069
雞	2065
ツ	2061
デ	2058
鮨	2056
様	2055
談	2041
頧	2040
児	2035
貴	2022
唃	2015
錡	2014
氹	2013
ゅ	2013
龘	2013
綎	2004
ュ	2004
復	2003
鬽	1997
邧	1992
響	1989
頂	1988
ｚ	1982
嚟	1981
η	1981
ゆ	1977
討	1973
宆	1972
増	1971
劇	1967
婓	1963
舉	1959
靈	1953
逧	1952
鉷	1951
銆	1947
ェ	1943
桖	1941
韓	1935
箒	1930
營	1921
ر	1914
媽	1913
悺	1910
姪	1904
歲	1900
陳	1899
讚	1894
課	1890
勗	1890
傿	1889
灬	1881
寶	1880
練	1875
蝔	1874
搧	1872
鐵	1870
斷	1868
箄	1865
餉	1860
ほ	1856
璝	1847
ハ	1838
ǒ	1831
譯	1831
樑	1830
戲	1820
岀	1820
ㄧ	1818
詩	1815
ビ	1811
曉	1804
湳	1804
編	1803
ق	1800
卨	1800
銀	1798
願	1793
魮	1792
皝	1791
ц	1787
ダ	1780
甇	1780
広	1776
蝡	1773
ㄒ	1770
幫	1765
ﾟ	1765
禮	1760
戶	1760
窫	1754
崑	1753
ف	1748
ぐ	1743
ふ	1740
洐	1740
釆	1738
