character	count
de	228154487
yk	206987099
ek	200077038
yd	196694289
jd	189076324
dd	180890635
yj	169764567
wj	155850589
vv	152554866
fj	151089068
dy	144857152
vu	144035276
ed	137727470
dz	137641993
qy	135151716
qe	131411269
bj	127633794
ov	127015628
dj	126587863
ej	125369375
jk	121158563
ye	120484084
vi	117911019
dl	116824449
je	116031164
fk	114501457
kd	112261984
le	111423365
jx	111149261
yy	111040242
xx	111007607
df	110155500
jq	109910474
db	107010147
hd	106100725
ww	104541306
qk	103202658
ky	102401864
jl	101930199
ly	100827883
jb	100481905
uv	100104982
qd	98989680
xd	98700463
ld	98678710
he	98442684
lk	98417635
jg	98306384
iu	97662879
dx	96916962
jj	96152329
dk	95925282
vo	95195818
ql	95109677
ds	94638630
zj	94602425
ke	94346992
jy	94262124
yf	93556516
gj	93263879
iv	92983239
dq	92643176
jm	92377759
do	90796748
yg	90655895
vd	90452504
ey	90433068
ia	90264919
ua	90149195
kj	89256970
oi	89141886
yb	88755588
wl	87941070
en	87467485
el	85838679
td	85423119
ou	85282146
ee	84417586
fd	84391599
ge	83390347
gl	82567882
kv	82351183
hb	81910132
oa	81374254
id	80937855
dv	80891090
jv	80862697
dh	80384415
yt	79501552
ll	79360466
yz	78514928
bd	78435219
xl	77900559
hy	77834017
kq	77821860
hq	77428356
jr	77043247
qg	76785178
md	76728389
uo	76379677
rn	76149388
my	76010034
ii	75839074
dm	75742907
xj	75673891
od	75127655
zh	75070123
kx	74570224
lj	74550369
lx	73980092
oo	73141414
ko	73033177
xq	72421137
hh	72383500
xs	72294444
dg	72230632
hj	71814907
yq	71806807
bf	71759110
di	71519344
er	71348393
hl	71332461
va	71173501
eq	71096587
lh	71000563
js	70767778
gy	70702009
xg	70418164
be	69918994
jh	69597695
lq	69406727
jo	69134437
yx	69033396
ud	69000426
kf	68910211
ep	68792058
ad	68352274
io	67717791
ev	67465518
eo	66538279
zd	66006856
eb	65873230
av	65634498
gd	65487390
yh	65133285
dw	65033357
xb	64747331
ai	64162352
em	64056308
yw	63090752
jw	63037016
au	62948788
ju	62791183
eh	62614221
tm	62579241
xh	62523805
ui	62300136
ty	62184078
zl	62178995
hz	61957425
qm	61955336
zk	61643657
ts	61393032
xy	61358606
xc	61346717
zy	61326415
ef	61276341
xm	61256211
ex	61207613
jf	60964734
li	60733525
uu	60525589
qq	60517464
hx	60371226
lg	60224131
wf	60199259
iy	60161294
vy	60014319
bh	59785837
bg	59679361
xe	59486180
da	59299070
qi	59297717
kl	59164229
wd	58575434
yi	58560635
ml	58410572
fe	58396369
fx	58066433
fw	57950217
bl	57853843
mj	57775957
bw	57210021
ei	57114981
lv	57112932
ji	57037061
fy	56963359
kh	56906252
ff	56840786
lw	56807446
fq	56612529
qx	56444397
nd	56351976
yl	56193371
yv	56017584
ao	55862614
xv	55762909
dt	55729518
ka	55050392
sd	55035593
oy	54734110
qf	54466706
mg	54293012
gx	54234441
dr	53834368
lo	53805633
lm	53734944
by	53569146
vj	52608547
bz	52520139
rj	52415843
nk	52323750
wy	52285371
bs	52140982
se	51206527
yo	51006365
we	50670631
bm	50567235
qv	50466573
lb	50338819
ay	50115094
jz	50031496
bk	49986943
xf	49726843
wx	49717318
du	49694557
ki	49640973
ij	49556787
rd	49515785
ze	49312562
uy	49181958
nm	49012427
zq	48903502
xk	48747145
vq	48444747
hw	48427835
th	48177276
ne	48174423
hf	48050640
kb	47672104
kw	47443463
eu	47278753
qj	47147993
me	47012609
ku	46948208
ve	46826571
aa	46709375
ew	46609185
tj	46258183
sj	46128473
fr	45870514
qh	45666629
sy	45573489
ti	44896359
gf	44726510
wq	44708784
iq	44705713
bq	44615754
ez	44566812
sk	44483172
jn	44411601
fl	44335197
gt	44288300
wt	44277500
ny	44237100
te	43974977
fp	43850724
qb	43753826
qo	43679539
bx	43497174
lz	43227194
qp	43041096
fo	42861018
gq	42775639
jc	42737593
sl	42602338
gb	42524250
qr	42413647
gz	42399664
mw	42110652
nl	42106096
ie	41986734
qn	41959456
qt	41846356
ho	41718201
re	41705644
fv	41400236
uj	41327964
hv	41324360
ea	41286906
ya	41208625
wi	41153631
yu	41076013
oj	41002178
ja	40909960
wp	40901529
ry	40887022
jt	40177393
gv	40146127
bv	39886314
mm	39769217
aj	39721203
qu	39698761
jp	39566263
fi	39388365
wh	39219271
kt	39124443
